id;column1;label;type;title;author;journal;abstract;year;doi;volume;pages;language;issue;issn;url;keywords;journal_secondary;filename;n_duplicates;da;j2;db;l2;a2;n1;notes;screened_full_paper
;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Bauer_2018_FrinPs;Bauer_2018_FrinPs;ARTICLE;Mechanical pain thresholds and the rubber hand illusion;Bauer and Anna and Hagenburger and Julia and Plank and Tina and Busch and Volker and Greenlee and Mark W;Frontiers in Psychology;We manipulated the sense of body ownership with the rubber hand illusion (RHI) to determine if perception of a potentially painful threat to the rubber hand can modify the mechanical pain threshold (MPT). Simultaneous tactile stimulation of the subject's concealed hand and the appropriately positioned visible rubber hand generated the illusion of false body ownership. The MPT was recorded on the left hand of the subjects before and after induction of the RHI, as well as during the phase in which the model hand was pricked with a sharp knife or touched by the blunt knife handle. The results indicate that the RHI could be successfully generated with our set-up. Mechanical stimuli were perceived as more painful in the condition where the rubber hand was simultaneously pricked with a knife. Our findings suggest that the illusion of body ownership gates nociceptive processing of potentially painful stimuli. (PsycInfo Database Record (c) 2021 APA, all rights reserved);2018;10.3389/fpsyg.2018.00712;9;NA;English;Armel, K. C., & Ramachandran, V. S. (2003). Projecting sensations to external objects: evidence from skin conductance response. Proc. R. Soc. Lond. B Biol. Sci. 270 1499-1506 https://pubmed.ncbi.nlm.nih.gov/12965016 https://dx.doi.org/10.1098/rspb.2003.2364;NA;https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc17&DO=10.3389%2ffpsyg.2018.00712;"*Illusions (Perception); *Proprioception; *Pain Thresholds; *Threat; *Tactual Stimulation; Hand (Anatomy)";NA;data/Psycinfo RHI.ris;2;2018///;NA;APA PsycInfo <2018>;http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=psyc17&NEWS=N&AN=2018-24575-001;Armel, K. C., Ramachandran, V. S., Armel, Botvinick, M., Cohen, J., Botvinick, Capelari, E. D., Uribe, C., Brasil-Neto, J. P., Capelari, Craig, A. D., Craig, Craig, A. D., Craig, Geber, C., Klein, T., Azad, S., Birklein, F., Gierthmuhlen, J., Huge, V., et al, Geber, Giummarra, M. J., Georgiou-Karistianis, N., Verdejo-Garcia, A., Gibson, S. J., Giummarra, Hofle, M., Hauck, M., Engel, A. K., Senkowski, D., Hofle, Hofle, M., Hauck, M., Engel, A. K., Senkowski, D., Hofle, Kanaya, S., Matsushima, Y., Yokosawa, K., Kanaya, Llobera, J., Sanchez-Vives, M. V., Slater, M., Llobera, Longo, M. R., Betti, V., Aglioti, S. M., Haggard, P., Longo, Martini, M., Perez-Marcos, D., Sanchez-Vives, M. V., Martini, Mithal, P., Simmons, P., Cornelissen, T., Wong, H., Pillai Riddell, R., McMurtry, C. M., et al, Mithal, Mohan, R., Jensen, K. B., Petkova, V. I., Dey, A., Barnsley, N., Ingvar, M., et al, Mohan, Pia, L., Garbarini, F., Fossataro, C., Fornia, L., Berti, A. M., Pia, Pomper, U., Hofle, M., Hauck, M., Kathmann, N., Engel, A. K., Senkowski, D., Pomper, Ramachandran, V. S., Blakeslee, S., Shah, N., Ramachandran, Rolke, R., Baron, R., Maier, C. A., Tolle, T. R., Treede, R. D., Beyer, A., et al, Rolke, Rolke, R., Magerl, W., Campbell, K. A., Schalber, C., Caspari, S., Birklein, F., et al, Rolke, Senkowski, D., Hofle, M., Engel, A. K., Senkowski, Siedlecka, M., Klimza, A., Lukowska, M., Wierzchon, M., Siedlecka, Torta, D. M., Legrain, V., Mouraux, A., Torta, Valenzuela-Moguillansky, C., Bouhassira, D., O'Regan, J. K., Valenzuela-Moguillansky, Valeriani, M., Betti, V., Le Pera, D., De Armas, L., Miliucci, R., Restuccia, D., et al, Valeriani;NA;;selected
;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Botan_2018_CoanCoAnInJo;Botan_2018_CoanCoAnInJo;ARTICLE;Atypical susceptibility to the rubber hand illusion linked to sensory-localised vicarious pain perception;Botan, V and Fan, S and Critchley, H and Ward, J;Consciousness and Cognition: An International Journal;The Rubber Hand Illusion (RHI) paradigm has been widely used to investigate the sense of body ownership. People who report experiencing the pain of others are hypothesised to have differences in computing body ownership and, hence, we predicted that they would perform atypically on the RHI. The Vicarious Pain Questionnaire (VPQ), was used to divide participants into three groups: (1) non-responders (people who report no pain when seeing someone else experiencing physical pain), (2) sensory-localised responders (report sensory qualities and a localised feeling of pain) and (3) affective-general responders (report a generalised and emotional feeling of pain). The sensory-localised group, showed susceptibility to the RHI (increased proprioceptive drift) irrespective of whether stimulation was synchronous or asynchronous, whereas the other groups only showed the RHI in the synchronous condition. This is not a general bias to always incorporate the dummy hand as we did not find increased susceptibility in other conditions (seeing touch without feeling touch, or feeling touch without seeing touch), but there was a trend for this group to incorporate the dummy hand when it was stroked with a laser light. Although individual differences in the RHI have been noted previously, this particular pattern is rare. It suggests a greater malleability (i.e. insensitivity to asynchrony) in the conditions in which other bodies influence own-body judgments. (PsycInfo Database Record (c) 2021 APA, all rights reserved);2018;10.1016/j.concog.2018.02.010;60;62-71;English;Aimola Davies, A., & White, R. (2013). A sensational illusion: Vision-touch synaesthesia and the rubber hand paradigm. Cortex, 49(3), 806-818 https://dx.doi.org/10.1016/j.cortex.2012.01.007 https://pubmed.ncbi.nlm.nih.gov/22445446 https://dx.doi.org/10.1016/j.cortex.2012.01.007 2013-10004-022.;1053-8100;https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc17&DO=10.1016%2fj.concog.2018.02.010;"*Illusions (Perception); *Pain Perception; *Proprioception; Human Body";NA;data/Psycinfo RHI.ris;2;2018///;NA;APA PsycInfo <2018>;http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=psyc17&NEWS=N&AN=2018-13668-008;Aimola Davies, A., White, R., Aimola Davies, Botvinick, M., Cohen, J., Botvinick, Cohen, J., Cohen, Costantini, M., Haggard, P., Costantini, Derbyshire, S., Osborn, J., Brown, S., Derbyshire, Durgin, F.H., Evans, L., Dunphy, N., Klostermann, S., Simmons, K., Durgin, Ehrsson, H.H., Spence, C., Passingham, R.E., Ehrsson, Eshkevari, E., Rieger, E., Longo, M., Haggard, P., Treasure, J., Eshkevari, Eshkevari, E., Rieger, E., Musiat, P., Treasure, J., Eshkevari, Fitzgibbon, B., Enticott, P., Rich, A., Giummarra, M., Georgiou-Karistianis, N., Bradshaw, J., Fitzgibbon, Fitzgibbon, B., Giummarra, M., Georgiou-Karistianis, N., Enticott, P., Bradshaw, J., Fitzgibbon, Fletcher, P.C., Frith, C.D., Fletcher, Germine, L., Benson, T., Cohen, F., Hooker, C., Germine, Grice-Jackson, T., Critchley, H., Banissy, M., Ward, J., Grice-Jackson, Grice-Jackson, T., Critchley, H., Banissy, M., Ward, J., Grice-Jackson, Heydrich, L., Blanke, O., Heydrich, Holle, H., McLatchie, N., Maurer, S., Ward, J., Holle, Jackson, P., Brunet, E., Meltzoff, A., Decety, J., Jackson, Kallai, J., Hegedus, G., Feldmann, A., Rozsa, S., Darnai, G., Herold, R., Szolcsanyi, T., Kallai, Kaplan, R., Enticott, P., Hohwy, J., Castle, D., Rossell, S., Kaplan, Lamm, C., Decety, J., Singer, T., Lamm, Landwehr, J., Zupan, J., Landwehr, Lenggenhager, B., Tadi, T., Metzinger, T., Blanke, O., Lenggenhager, Limanowski, J., Blankenburg, F., Limanowski, Longo, M., Schuur, F., Kammers, M., Tsakiris, M., Haggard, P., Longo, Makin, T., Holmes, N., Ehrsson, H., Makin, Osborn, J., Derbyshire, S., Osborn, Palmer, C., Paton, B., Hohwy, J., Enticott, P., Palmer, Paton, B., Hohwy, J., Enticott, P., Paton, Preston, C., Preston, Preyde, M., Watson, J., Remers, S., Stuart, R., Preyde, Quattrocki, E., Friston, K., Quattrocki, Rohde, M., Di Luca, M., Ernst, M.O., Rohde, Samad, M., Chung, A., Shams, L., Samad, Strigo, I., Matthews, S., Simmons, A., Oberndorfer, T., Klabunde, M., Reinhardt, L., Kaye, W.H., Strigo, Tsakiris, M., Tsakiris, Tsakiris, M., Costantini, M., Haggard, P., Tsakiris, Tsakiris, M., Haggard, P., Tsakiris, Tsakiris, M., Jimenez, A., Costantini, M., Tsakiris, Van de Cruys, S., Evers, K., Van der Hallen, R., Van Eylen, L., Boets, B., de-Wit, L., Wagemans, J., Van de Cruys, Vul, E., Harris, C., Winkielman, P., Pashler, H., Vul, Ward, J., Ward, Ward, J., Banissy, M., Ward, Zopf, R., Contini, E., Fowler, C., Mondraty, N., Williams, M., Zopf;NA;dolore vicario, effetto su RHI;selected
;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Capelari_2009_Perc;Capelari_2009_Perc;ARTICLE;Feeling pain in the rubber hand: Integration of visual, proprioceptive, and painful stimuli;Capelari and Edla D. P and Uribe and Carlos and Brasil-Neto and Joaquim P;Perception;The visual capture phenomenon has recently been explored, especially in the context of the rubber-hand illusion (RHI)-an illusion in which tactile sensations are referred to an illusory limb. We have induced the RHI with the difference that tactile-painful stimuli were added in order to verify the interaction between vision, touch, proprioception, and pain. Thirty volunteers were used. We found that tactile-painful stimuli could cause the same illusion as purely tactile stimuli. This result suggests that localisation of pain may also be distorted by spurious visual cues. The implications of this finding for distorted human proprioception (as in amputees with phantom pain or limbs) are discussed. (PsycInfo Database Record (c) 2021 APA, all rights reserved);2009;10.1068/p5892;38;92-99;English;1;0301-0066;https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc8&DO=10.1068%2fp5892;"*Illusions (Perception); *Pain Perception; *Proprioception; *Sensory Integration; *Tactual Perception; Emotions; Vision";NA;data/Psycinfo RHI.ris;2;2009///;NA;APA PsycInfo <2009>;http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=psyc8&NEWS=N&AN=2009-03610-009;Baier, B., Karnath, H., Baier, Baldo, M. V. C., Haddad, H., Baldo, Beers, R. J., Wolpert, D. M., Haggard, P., Beers, Botvinick, M., Botvinick, Botvinick, M., Cohen, J., Botvinick, Brasil-Neto, J. P., Valls-Sole, J., Pascual-Leone, A., Cammarota, A., Amassian, V. E., Cracco, R., Maccabee, P., Cracco, J., Hallet, M., Cohen, L. G., Brasil-Neto, Eagleman, D. M., Eagleman, Ehrsson, H. H., Spence, C., Passingham, R. E., Ehrsson, Ehrsson, H. H., Wiech, K., Weiskopf, N., Dolan, R. J., Passingham, R. E., Ehrsson, Hillis, J. M., Ernst, M. O., Banks, M., Landy, M. S., Hillis, Kandel, E. R., Schwartz, J. H., Jessel, T. M., Kandel, Maclachlan, M., Desmond, D., Horgan, O., Maclachlan, Oldfield, R. C., Oldfield, Ramachandran, V. S., Ramachandran, Ramachandran, V. S., Blakeslee, S., Ramachandran, Ramachandran, V. S., Rogers-Ramachandran, D., Ramachandran, Schlereth, T., Magerl, W., Treede, R., Schlereth, Tsakiris, M., Hesse, M. D., Boy, C., Haggard, P., Fink, G. R., Tsakiris, Tsarikis, M., Haggard, P., Tsarikis;NA;c'è la RHI se stimolo dolorifico;selected
;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Ceylan_2025_Eujoofpa.LEn;Ceylan_2025_Eujoofpa.LEn;ARTICLE;The Effect of a Single Session Rubber Hand Illusion on Pressure Pain Is Not Long-Lasting;Ceylan and Hatice and Acet and Nagihan and Gnendi and Zafer;European journal of pain (London, England);BACKGROUND: Rubber hand illusion (RHI) is an experience that causes changes in body perception and awareness as a result of the integration of simultaneous perceived visual and tactile stimuli. After synchronous brush strokes with rubber and real hands, the person perceives the rubber hand as their own. RHI is known to alter pain perception. In this study, it was aimed to evaluate the effects of RHI on pressure pain threshold and continuity of this effect. METHODS: Twenty-three volunteers who developed RHI were included in our study and two conditions, illusion (synchronous) and control (asynchronous), were applied. The illusion condition was created by synchronous brush strokes, while the control condition was created by asynchronous brush application using different frequency and different finger areas in the same individuals. In both conditions, pressure pain threshold measurements with an algometer were performed at four times: baseline/1st measurement, during the brush stroke/2nd measurement, at the end of the brush stroke/3rd measurement and after the hand was removed from the environment/4th measurement. RESULTS: It was shown that RHI increased the pressure-pain threshold (p=0.004) in healthy volunteers. Asynchronous brush strokes arranged as a control trial significantly decreased the pressure pain threshold (p=0.002). CONCLUSIONS: It was found that the threshold values that change during the brush strokes return to the initial state after the brush strokes are terminated and the rubber hand is removed from the environment so that the effect of the illusion does not last for a long time with a single session application.;2025;10.1002/ejp.70003;29;e70003;eng;4;1532-2149 1090-3801;NA;"Humans; *Illusions/physiology; Touch Perception/physiology; *Hand; Young Adult; Adult; Female; Male; Rubber; *Pain Threshold/physiology; *Pressure; Pain Measurement/methods; Pain Perception/physiology; Pain/psychology/physiopathology; Touch/physiology";NA;data/pubmed-Rubberhand-set.ris;1;2025/04//undefined;Eur J Pain;NA;NA;NA;NA;;selected
;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Chang_2013_Ecaam.e;Chang_2013_Ecaam.e;ARTICLE;Modifying Bodily Self-Awareness during Acupuncture Needle Stimulation Using the Rubber Hand Illusion;Chang and Dong-Seon and Kim and Yun-Ji and Lee and Soon-Ho and Lee and Hyejung and Lee and In-Seon and Park and Hi-Joon and Wallraven and Christian and Chae and Younbyoung;Evidence-based complementary and alternative medicine : eCAM;Background. The rubber hand illusion (RHI) is an experimental paradigm that manipulates important aspects of body self-awareness. Objectives. We were interested in whether modifying bodily self-awareness by manipulation of body ownership and visual expectations using the RHI would change the subjective perception of pain as well as the autonomic response to acupuncture needle stimulation. Methods. Acupuncture needle stimulation was applied to the real hand during the RHI with (experiment 1) or without (experiment 2) visual expectation while measuring concurrent autonomic changes such as the skin conductance response (SCR). Subjective responses such as perception of the RHI and perceived pain were measured by questionnaires. Results. In experiment 1, the amplitude of the increase in SCR was visibly higher during the synchronous session compared with that of the asynchronous session. In experiment 2, the amplitude of the increase of SCR was lower for the synchronous session compared with that for the asynchronous session. Comparing these two experiments, the visual expectation of needle stimulation produced a greater autonomic response to acupuncture stimulation. Conclusions. Our findings suggest that the sympathetic response to acupuncture needle stimulation is primarily influenced by visual expectation rather than by modifications of body ownership.;2013;10.1155/2013/849602;2013;849602;eng;NA;1741-427X 1741-4288;NA;NA;NA;data/pubmed-Rubberhand-set.ris;1;2013///;Evid Based Complement Alternat Med;NA;NA;NA;NA;;selected
